名前,タイプ,分類,威力,PP,説明,効果
まきつく,ノーマル,ぶつり,15,20,長い体やつるなどをつかって４ー５ターンのあいだ相手にまきついて攻撃する。,"Inflicts regular damage.  For the next 2?5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
とっしん,ノーマル,ぶつり,90,20,すごい勢いで相手にぶつかって攻撃する。自分も少しダメージを受ける。,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
あばれる,ノーマル,ぶつり,120,10,２ー３ターンのあいだ暴れまくって相手を攻撃する。暴れたあとは混乱する。,"Inflicts regular damage.  User is forced to attack with this move for 2?3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
すてみタックル,ノーマル,ぶつり,120,15,命を懸けて相手に突進して攻撃する。自分もかなりダメージを受ける。,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
しっぽをふる,ノーマル,へんか,,30,しっぽを左右にかわいくふって油断を誘う。相手の防御をさげる。,Lowers the target's Defense by one stage.
どくばり,どく,ぶつり,15,35,毒のあるハリを相手に突き刺して攻撃する。毒状態にすることがある。,Inflicts regular damage.  Has a 30% chance to poison the target.
ダブルニードル,むし,ぶつり,25,20,２本のハリを相手に突き刺し２回連続でダメージ。毒状態にすることがある。,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.
ミサイルばり,むし,ぶつり,25,20,鋭いハリを相手に発射して攻撃する。２ー５回のあいだ連続でだす。,"Inflicts regular damage.  Hits 2?5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
にらみつける,ノーマル,へんか,,30,鋭い目つきでおびえさせて相手の防御をさげる。,Lowers the target's Defense by one stage.
かみつく,あく,ぶつり,60,25,鋭くとがった歯でかみついて攻撃する。相手をひるませることがある。,Inflicts regular damage.  Has a 30% chance to make the target flinch.
なきごえ,ノーマル,へんか,,40,かわいいなきごえを聞かせて気をひき油断をさせて相手の攻撃をさげる。,Lowers the target's Attack by one stage.
ほえる,ノーマル,へんか,,20,相手を逃がして控えのポケモンをひきずりだす。野生の場合は戦闘が終わる。,"Switches the target out for another of its trainer's Pok?mon selected at random.  Wild battles end immediately.

Doesn't affect Pok?mon with suction cups or under the effect of ingrain."
うたう,ノーマル,へんか,,15,心地好いきれいな歌声を聞かせて相手を眠り状態にする。,Puts the target to sleep.
ちょうおんぱ,ノーマル,へんか,,20,特殊な音波を体から発して相手を混乱させる。,Confuses the target.
ソニックブーム,ノーマル,とくしゅ,,20,衝撃波を相手にぶつけて攻撃する。２０のダメージを決まって与える。,Inflicts exactly 20 damage.
かなしばり,ノーマル,へんか,,20,相手の動きをとめて直前にだしていた技を４ターンのあいだ使えなくする。,"Disables the target's last used move, preventing its use for 4?7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
ようかいえき,どく,とくしゅ,40,30,強い酸を相手にかけて攻撃する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
ひのこ,ほのお,とくしゅ,40,25,小さな炎を相手に発射して攻撃する。やけど状態にすることがある。,Inflicts regular damage.  Has a 10% chance to burn the target.
かえんほうしゃ,ほのお,とくしゅ,90,15,激しい炎を相手に発射して攻撃する。やけど状態にすることがある。,Inflicts regular damage.  Has a 10% chance to burn the target.
しろいきり,こおり,へんか,,30,白い霧で体をおおう。５ターンのあいだ相手に能力をさげられなくなる。,"Pok?mon on the user's side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect."
みずでっぽう,みず,とくしゅ,40,25,水を勢いよく相手に発射して攻撃する。,Inflicts regular damage.
ハイドロポンプ,みず,とくしゅ,110,5,大量の水を激しい勢いで相手に発射して攻撃する。,Inflicts regular damage.
なみのり,みず,とくしゅ,90,15,大きな波で自分の周りにいるものを攻撃する。,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power."
れいとうビーム,こおり,とくしゅ,90,10,凍えるビームを相手に発射して攻撃する。こおり状態にすることがある。,Inflicts regular damage.  Has a 10% chance to freeze the target.
ふぶき,こおり,とくしゅ,110,5,激しい吹雪を相手に吹きつけて攻撃する。こおり状態にすることがある。,"Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect."
サイケこうせん,エスパー,とくしゅ,65,20,不思議な光線を相手に発射して攻撃する。混乱させることがある。,Inflicts regular damage.  Has a 10% chance to confuse the target.
バブルこうせん,みず,とくしゅ,65,20,泡を勢いよく相手に発射して攻撃する。素早さをさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
オーロラビーム,こおり,とくしゅ,65,20,にじいろのビームを相手に発射して攻撃する。攻撃をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.
はかいこうせん,ノーマル,とくしゅ,150,5,強い光線を相手に発射して攻撃する。次のターンは動けなくなる。,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
つつく,ひこう,ぶつり,35,35,鋭くとがったくちばしやつので相手を突いて攻撃する。,Inflicts regular damage.
ドリルくちばし,ひこう,ぶつり,80,20,回転しながらとがったくちばしを相手に突き刺して攻撃する。,Inflicts regular damage.
じごくぐるま,かくとう,ぶつり,80,20,地面に自分ごと相手を投げつけて攻撃する。自分も少しダメージを受ける。,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
けたぐり,かくとう,ぶつり,,20,足を強くけり相手を転ばせて攻撃する。相手が重いほど威力があがる。,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
"
カウンター,かくとう,ぶつり,,20,相手から受けた物理攻撃のダメージを２倍にして同じ相手に返す。,"Targets the last opposing Pok?mon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome."
ちきゅうなげ,かくとう,ぶつり,,20,引力を使い投げとばす。自分のレベルと同じダメージを相手に与える。,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
かいりき,ノーマル,ぶつり,80,15,こん身の力で相手をなぐりつけて攻撃する。重たい岩を押すこともできる。,Inflicts regular damage.
すいとる,くさ,とくしゅ,20,25,養分を吸い取り攻撃する。相手に与えたダメージの半分のＨＰを回復できる。,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
メガドレイン,くさ,とくしゅ,40,15,養分を吸い取り攻撃する。相手に与えたダメージの半分のＨＰを回復できる。,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
やどりぎのタネ,くさ,へんか,,10,植えつけた相手のＨＰを毎ターン少しだけ吸い取り自分のＨＰを回復する。,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pok?mon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass."
せいちょう,ノーマル,へんか,,20,体を一気に大きく生長させて攻撃と特攻をあげる。,"Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages."
はっぱカッター,くさ,ぶつり,55,25,はっぱをとばして相手を切りつけて攻撃する。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
ソーラービーム,くさ,とくしゅ,120,10,１ターン目に光をいっぱいに集め２ターン目に光の束を発射して攻撃する。,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk."
どくのこな,どく,へんか,,35,毒のある粉をたくさんふりまいて相手を毒状態にする。,Poisons the target.
しびれごな,くさ,へんか,,30,しびれる粉をたくさんふりまいて相手をまひ状態にする。,Paralyzes the target.
ねむりごな,くさ,へんか,,15,眠くなる粉をたくさんふりまいて相手を眠り状態にする。,Puts the target to sleep.
はなびらのまい,くさ,とくしゅ,120,10,２ー３ターンのあいだ花をまきちらして相手を攻撃する。まきちらしたあとは混乱する。,"Inflicts regular damage.  User is forced to attack with this move for 2?3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
いとをはく,むし,へんか,,40,口から吹きだした糸をまきつけて相手の素早さをがくっとさげる。,Lowers the target's Speed by two stages.
りゅうのいかり,ドラゴン,とくしゅ,,10,怒りの衝撃波を相手にぶつけて攻撃する。４０のダメージを決まって与える。,Inflicts exactly 40 damage.
ほのおのうず,ほのお,とくしゅ,35,15,激しく渦をまく炎の中に４ー５ターンのあいだ相手を閉じこめて攻撃する。,"Inflicts regular damage.  For the next 2?5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
でんきショック,でんき,とくしゅ,40,30,電気の刺激を相手に浴びせて攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 10% chance to paralyze the target.
１０まんボルト,でんき,とくしゅ,90,15,強い電撃を相手に浴びせて攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 10% chance to paralyze the target.
でんじは,でんき,へんか,,20,弱い電撃を浴びせることで相手をまひ状態にする。,Paralyzes the target.
かみなり,でんき,とくしゅ,110,10,激しい雷を相手に落として攻撃する。まひ状態にすることがある。,"Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy."
いわおとし,いわ,ぶつり,50,15,小さな岩を持ちあげて相手に投げつけて攻撃する。,Inflicts regular damage.
じしん,じめん,ぶつり,100,10,地震の衝撃で自分の周りにいるものを攻撃する。,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power."
じわれ,じめん,ぶつり,,5,地割れの裂け目に相手を落として攻撃する。当たれば一撃でひんしにする。,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
あなをほる,じめん,ぶつり,80,10,１ターン目に潜り２ターン目で相手を攻撃する。洞窟からの脱出もできる。,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk."
どくどく,どく,へんか,,10,相手を猛毒の状態にする。ターンがすすむほど毒のダメージが増えていく。,Badly poisons the target.  Never misses when used by a poison-type Pok?mon.
ねんりき,エスパー,とくしゅ,50,25,弱い念力を相手に送って攻撃する。相手を混乱させることがある。,Inflicts regular damage.  Has a 10% chance to confuse the target.
サイコキネシス,エスパー,とくしゅ,90,10,強い念力を相手に送って攻撃する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
さいみんじゅつ,エスパー,へんか,,20,眠気を誘う暗示をかけて相手を眠り状態にする。,Puts the target to sleep.
ヨガのポーズ,エスパー,へんか,,40,眠っている力を体の奥からひきだして自分の攻撃をあげる。,Raises the user's Attack by one stage.
こうそくいどう,エスパー,へんか,,30,力をぬいて体を軽くして高速で動く。自分の素早さをぐーんとあげる。,Raises the user's Speed by two stages.
でんこうせっか,ノーマル,ぶつり,40,30,目にも留まらぬものすごい速さで相手につっこむ。必ず先制攻撃できる。,Inflicts regular damage.
いかり,ノーマル,ぶつり,20,20,技をだしたときに攻撃を受けると怒りの力で攻撃があがる。,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage."
テレポート,エスパー,へんか,,20,野生ポケモンとの戦闘をやめる。最後にはいったポケセンのある街にも行ける。,Does nothing.  Wild battles end immediately.
ナイトヘッド,ゴースト,とくしゅ,,15,恐ろしい幻をみせて自分のレベルと同じだけのダメージを相手に与える。,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
ものまね,ノーマル,へんか,,10,相手が最後に使った技を戦闘のあいだ自分の技にすることができる。,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore."
いやなおと,ノーマル,へんか,,40,おもわず耳をふさぎたくなるいやなおとをだして相手の防御をがくっとさげる。,Lowers the target's Defense by two stages.
かげぶんしん,ノーマル,へんか,,15,素早い動きで分身をつくり相手をまどわせて回避率をあげる。,Raises the user's evasion by one stage.
じこさいせい,ノーマル,へんか,,5,細胞を再生させて自分の最大ＨＰの半分のＨＰを回復する。,Heals the user for half its max HP.
かたくなる,ノーマル,へんか,,30,全身に力をこめて体を硬くして自分の防御をあげる。,Raises the user's Defense by one stage.
ちいさくなる,ノーマル,へんか,,10,体をちぢめて小さくみせて自分の回避率をぐーんとあげる。,"Raises the user's evasion by two stages.

stomp and steamroller have double power against Pok?mon that have used this move since entering the field."
えんまく,ノーマル,へんか,,20,煙や墨などを吹きかけて相手の命中率をさげる。,Lowers the target's accuracy by one stage.
あやしいひかり,ゴースト,へんか,,10,怪しい光を相手にみせてまどわせる。相手を混乱させる。,Confuses the target.
からにこもる,みず,へんか,,40,殻に潜りこんで身を守り自分の防御をあげる。,Raises the user's Defense by one stage.
まるくなる,ノーマル,へんか,,40,体をまるめてちぢこまり自分の防御をあげる。,"Raises user's Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field."
バリアー,エスパー,へんか,,20,頑丈な壁をつくって自分の防御をぐーんとあげる。,Raises the user's Defense by two stages.
ひかりのかべ,エスパー,へんか,,30,５ターンのあいだ不思議なかべで相手から受ける特殊攻撃のダメージを弱める。,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier."
くろいきり,こおり,へんか,,30,黒い霧をだして戦闘にでているポケモン全員の能力変化をもとにもどす。,"Removes stat, accuracy, and evasion modifiers from every Pok?mon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke."
リフレクター,エスパー,へんか,,20,５ターンのあいだ不思議なかべで相手から受ける物理攻撃のダメージを弱める。,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier."
きあいだめ,ノーマル,へんか,,30,深く息を吸い気合をこめる。自分の攻撃が急所に当たりやすくなる。,"User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass."
がまん,ノーマル,ぶつり,,10,２ターンのあいだ攻撃にたえて受けたダメージを２倍にして相手に返す。,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pok?mon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk."
ゆびをふる,ノーマル,へんか,,10,指をふり自分の脳を刺激してすべての技のなかからどれか１つをくりだす。,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk."
オウムがえし,ひこう,へんか,,20,相手の使った技をまねして自分も同じ技を使う。,"Uses the last move targeted at the user by a Pok?mon still on the field.  A move counts as targeting the user even if it hit multiple Pok?mon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pok?mon that targeted the user remains on the field, this move will fail.

Moves that failed, missed, had no effect, or were blocked are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pok?mon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.

This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore."
じばく,ノーマル,ぶつり,200,5,爆発をおこして自分の周りにいるものを攻撃する。使ったあとにひんしになる。,"User faints, even if the attack fails or misses.  Inflicts regular damage."
タマゴばくだん,ノーマル,ぶつり,100,10,大きなタマゴを力いっぱい相手に投げつけて攻撃する。,Inflicts regular damage.
したでなめる,ゴースト,ぶつり,30,30,長い舌で相手をなめまわして攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 30% chance to paralyze the target.
スモッグ,どく,とくしゅ,30,20,汚れたガスを相手に吹きつけて攻撃する。毒状態にすることがある。,Inflicts regular damage.  Has a 40% chance to poison the target.
ヘドロこうげき,どく,とくしゅ,65,20,汚いヘドロを相手に投げつけて攻撃する。毒状態にすることがある。,Inflicts regular damage.  Has a 30% chance to poison the target.
ホネこんぼう,じめん,ぶつり,65,20,手に持ったホネで相手をなぐりつけて攻撃する。相手をひるませることがある。,Inflicts regular damage.  Has a 10% chance to make the target flinch.
だいもんじ,ほのお,とくしゅ,110,5,大の字の炎で相手を焼きつくす。やけど状態にすることがある。,Inflicts regular damage.  Has a 10% chance to burn the target.
たきのぼり,みず,ぶつり,80,15,すごい勢いで相手につっこむ。相手をひるませることがある。滝も泳いでのぼれる。,Inflicts regular damage.  Has a 20% chance to make the target flinch.
からではさむ,みず,ぶつり,35,15,とても頑丈なぶあつい殻に４ー５ターンのあいだ相手をはさんで攻撃する。,"Inflicts regular damage.  For the next 2?5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
スピードスター,ノーマル,とくしゅ,60,20,星型の光を発射して相手を攻撃する。攻撃は必ず命中する。,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
ロケットずつき,ノーマル,ぶつり,130,10,１ターン目に頭をひっこめて防御をあげる。２ターン目に相手を攻撃する。,"Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.

This move cannot be selected by sleep talk."
